Name,Description,Category,Unit Price,Bookable,Duration Minutes,Quantity Enabled,Minimum Quantity,Maximum Quantity,Taxable,Active
Labor,Hourly labor charge,Service,0.0,false,,"","","",true,true
Materials,"",Service,0.0,false,,"","","",true,true
Electrical: Run new circuit from panel for microwave outlet,Assumes panel has space and run is no more than 10 ft,Service,300.0,false,,"","","",true,true
Painting: Patches and painting for outlet run,Hourly labor charge,Service,50.0,false,,"","","",true,true
Insulation: Insulate One Interior Wall,"",Service,65.0,false,,"","","",true,true
Debris Removal,"",Service,500.0,false,,"","","",true,true
Interior Painting,Customer to provide paint,Service,50.0,false,,"","","",true,true
Electrical: Swap Out Existing Can Light With New,"",Service,150.0,false,,"","","",true,true
Electrical: Swap out existing switch with dimmer,"",Service,150.0,false,,"","","",true,true
Misc: Remove Door Stopper,"",Service,65.0,false,,"","","",true,true
Plumbing: Install new Shower Fixture,"Fixture to be provided by customer
One valve.  If customer selected multiple diverter fixture will require change order at additional cost (I.E. separate hand held shower head)",Service,600.0,false,,"","","",true,true
Misc: Re Caulk Shower,"",Service,65.0,false,,"","","",true,true
Plumbing: Install new garbage disposal,Customer to provide disposal,Service,250.0,false,,"","","",true,true
Misc,"",Service,65.0,false,,"","","",true,true
Drywall: Patches from Lighting Install,"",Service,65.0,false,,"","","",true,true
"Exterior: Drain Tile Installation, One Wall","",Service,65.0,false,,"","","",true,true
Drywall: Ceiling Repairs,"",Service,65.0,false,,"","","",true,true
Interior Painting: Ceilings,"",Service,65.0,false,,"","","",true,true
Demo,"",Service,70.0,false,,"","","",true,true
Carpentry: Hang New Medicine Cabinet,"Assumes cabinet is no larger than 40"" wide
Customer to provide medicine cabinet",Service,200.0,false,,"","","",true,true
Electrical: Install New Vanity Light (existing electrical),"If new wiring or circuit is needed, will require a change order at additional cost
Customer to provide light fixture",Service,150.0,false,,"","","",true,true
Plumbing: Redirect stove gas line,"",Service,75.0,false,,"","","",true,true
"Drywall: Hole Patch Less Than 6""","",Service,150.0,false,,"","","",true,true
Electrical: Swap Existing Outlet With New,"Will utilize existing wiring.  If new wiring or circuit needs to be run, will require change order at additional cost",Service,150.0,false,,"","","",true,true
Electrical: Swap Existing Light Fixture with New,"Customer to provide light fixture

If new wiring or circuit is needed, will require a change order at additional cost",Service,250.0,false,,"","","",true,true
"HVAC: Clean Vents In Apartment, Return and Supply","",Service,30.0,false,,"","","",true,true
HVAC: Furnace Service,"",Service,150.0,false,,"","","",true,true
Appliances: Inspect Over Range Hood Vent For Function,"",Service,65.0,false,,"","","",true,true
Carpentry: Repair MDF Door or Window Frame,"If when windows are removed we find any wood rot or other changes that are needed, will require change order at additional cost",Service,65.0,false,,"","","",true,true
Electrical: Run new circuit from panel for stove,"",Service,300.0,false,,"","","",true,true
Countertops,"NOT INCLUDED IN ESTIMATE
Will be quoted once kitchen cabinet layout is finalized and material is selected by customer",Service,0.0,false,,"","","",true,true
Carpentry: Cabinet Hanging,"Customer to provide cabinets
Assumes X total cabinets matching existing layout
If layout changes are made, may require change order at additional cost to adjust for cabinet total and layout complexity

If cabinets selected are 46"" uppers or larger, will require change order for additional complexity of accounting for uneven walls",Service,200.0,false,,"","","",true,true
Carpentry: Install Baseboard Trim,Customer to provide trim,Service,65.0,false,,"","","",true,true
Tile: Install Durock Shower Surround,"",Service,65.0,false,,"","","",true,true
Tile: Waterproof Shower Surround,Redguard waterproofing,Service,65.0,false,,"","","",true,true
Tile: Install Durock Sub Floor,"",Service,65.0,false,,"","","",true,true
Tile: Construct Shower Pan,"",Service,1050.0,false,,"","","",true,true
Plumbing: Toilet Install,"Customer to provide toilet
Will use existing plumbing.  If significant changes are required to plumbing to facilitate install will require change order at additional cost

Standard toilets only.  Note, if smart toilet is selected with complex installation process, or electrical requirements will require a change order at additional cost",Service,200.0,false,,"","","",true,true
Plumbing: Kitchen Sink Faucet Install,"Using existing plumbing
If new rough plumbing is required, will require a change order",Service,120.0,false,,"","","",true,true
Plumbing: Bathroom Sink Faucet Install,"Using existing plumbing
If new rough plumbing is required, will require a change order

Customer provided faucets",Service,120.0,false,,"","","",true,true
Electrical: Install New Can Light,"",Service,250.0,false,,"","","",true,true
Plumbing: Rough Connection for Dishwasher Hookup,"",Service,200.0,false,,"","","",true,true
Electrical: Run New Light Switches for Room light,"",Service,200.0,false,,"","","",true,true
Plumbing: install new wax ring and re seat toilet,"",Service,150.0,false,,"","","",true,true
Flooring: Install new laminate flooring (Basic),$3 Per Sq Ft,Service,4.0,false,,"","","",true,true
Carpentry: Install Baseboard Shoe,"",Service,65.0,false,,"","","",true,true
Condo Coordination,"",Service,1000.0,false,,"","","",true,true
Drywall: Patches,"Repair, tape, sand, and mud cracks in drywall",Service,65.0,false,,"","","",true,true
Electrical: Repair light fixture,"",Service,150.0,false,,"","","",true,true
Carpentry: Remove Baseboard Shoe,"",Service,65.0,false,,"","","",true,true
Plumbing: Repair Toilet Flange,"",Service,150.0,false,,"","","",true,true
Carpentry: Install Blocking,"",Service,65.0,false,,"","","",true,true
Plumbing: Install Fridge Water Line With Shut Off,"",Service,150.0,false,,"","","",true,true
Electrical: Install New Outlet,"Will draw power from existing power source within 4'.  If nearest power source is farther, will require change order at additional cost",Service,250.0,false,,"","","",true,true
Tile: Install Tiled Shower Surround,"Includes professional layout, wet cutting of tile as required for proper fit, setting, and grouting of wall tile in shower surround.

Does not include shelves, niches, benches, or decorative inlays. If desired, these require a change order at additional cost.

Customer to provide tile and grout.

Pricing assumes large-format tile approximately 12x12 or 12×24. Smaller format, mosaic, or specialty tile patterns require a change order due to increased labor.",Service,75.0,false,,"","","",true,true
Plumbing: Install Rough In For Tub,"",Service,65.0,false,,"","","",true,true
Plumbing: Install New Tub,"Customer to provide tub
Will utilize existing plumbing.  If plumbing changes are needed will require change order at additional cost",Service,800.0,false,,"","","",true,true
Carpentry: Install Floating Vanity,"",Service,600.0,false,,"","","",true,true
Carpentry: Install Recessed Medicine Cabinet,"",Service,500.0,false,,"","","",true,true
Electrical: Install New Bathroom Vent Fan,"Includes running new vent to exterior of home
Customer to supply vent fan

Existing electrical will be used, if new electrical needs to be run will require a change order at additional cost",Service,65.0,false,,"","","",true,true
Carpentry: Front Porch Rebuild,"",Service,65.0,false,,"","","",true,true
Carpentry: Stairwell Rebuild,"",Service,65.0,false,,"","","",true,true
Painting: Stain Oak Treads,"",Service,65.0,false,,"","","",true,true
Plumbing: Install Utility Sink,"",Service,150.0,false,,"","","",true,true
Electrical: Run new circuit from panel to new outlet,"",Service,150.0,false,,"","","",true,true
Framing: Install new wall,"",Service,65.0,false,,"","","",true,true
Carpentry: Build Base for Kitchen Island,"",Service,65.0,false,,"","","",true,true
Painting: Cabinet Painting,"",Service,50.0,false,,"","","",true,true
Carpentry: Install Chair Rail Trim,"",Service,65.0,false,,"","","",true,true
Plumbing: Rough Plumbing to Relocate Sink,Relocate kitchen sink to window area,Service,75.0,false,,"","","",true,true
Flooring: Cork Underlayment with Mastic Application,450 total sq ft,Service,65.0,false,,"","","",true,true
Gutter Repair,"",Service,65.0,false,,"","","",true,true
Garage Hole Repair,"Repair hole in garage

Replace rotted siding 
Replace rotted wood
Reframe with new 2x4 and plywood

Color match with new siding will be approximate",Service,65.0,false,,"","","",true,true
Exterior Painting,"Paint exterior of garage in area with replaced siding

Color match will be approximate",Service,65.0,false,,"","","",true,true
Carpentry: Install new Exterior Door Slab,"Customer to provide door.  Chicago Reno can facilitate pickup as needed

Assumes door selected will match existing opening.  If substantial re-framing and drywall work is required, will require change order at additional cost",Service,65.0,false,,"","","",true,true
Carpentry: Flooring Repair,"",Service,65.0,false,,"","","",true,true
Carpentry: Install New Bifold Door,"Customer to provide door.  Chicago Reno can facilitate pickup as needed

Assumes door selected will match existing opening.  If substantial re-framing and drywall work is required, will require change order at additional cost",Service,250.0,false,,"","","",true,true
Carpentry: Install New Window,"If when windows are removed we find any wood rot or other changes that are needed, will require change order at additional cost

Customer to provide window
Chicago Reno can take measurements.  If needed additional visit charge will be added",Service,400.0,false,,"","","",true,true
Carpentry: Install New Door and Window Casing,"If when windows are removed we find any wood rot or other changes that are needed, will require change order at additional cost",Service,65.0,false,,"","","",true,true
Drywall: Installation of New Drywall,"Includes drywall material, mud, tape, and sanding prep for paint

(- Misc drywall fixes from demo of tile, install of vanity, etc) - for bathroom renovation",Service,65.0,false,,"","","",true,true
Electrical: Replace Bathroom Vent Fan,"Labor only
Customer to supply vent fan
Existing electrical will be used, if new electrical needs to be run will require a change order at additional cost
Assumes no adjustments needed to ceiling from same size and style of vent fan.  If different size or style is desired will require change order at additional cost",Service,150.0,false,,"","","",true,true
Rough Electrical,"",Service,75.0,false,,"","","",true,true
Electrical: Recessed Light Install,"Customer to provide recessed lights
Assumes power can be drawn from no more than 4' away.  If longer, will require change order at additional cost",Service,250.0,false,,"","","",true,true
Carpentry: Install New Pocket Door,"Customer to provide door

If when walls are opened, electrical, plumbing or other complications arise that need to be adjusted will require change order at additional cost",Service,600.0,false,,"","","",true,true
Plumbing: Finish Plumbing Installation,"",Service,150.0,false,,"","","",true,true
Carpentry: Install Double Vanity,"Customer to provide vanity

Will use existing plumbing.  If significant changes are required to plumbing to facilitate install will require change order at additional cost",Service,600.0,false,,"","","",true,true
Carpentry: Towel Bar Install,"",Service,120.0,false,,"","","",true,true
Install Glass Shower Doors,"For master bathroom
Includes labor and materials for fabrication and installation of custom glass shower doors",Service,2000.0,false,,"","","",true,true
Carpentry: Deck Installation,"",Service,65.0,false,,"","","",true,true
Electrical: Adjust Vanity Light,"",Service,100.0,false,,"","","",true,true
Carpentry: Install New Plywood Sub Floor,"",Service,65.0,false,,"","","",true,true
Carpentry: Install New Prehung Door,"Standard sized doors
Customer provided
If significant modifications are needed will require a change order at additional cost",Service,520.0,false,,"","","",true,true
Carpentry: Framing,"",Service,65.0,false,,"","","",true,true
Plumbing: Install Built in Dehumidifier,Customer to provide dehumidifier,Service,600.0,false,,"","","",true,true
Flooring: Install New Hardwood,$5 per sq ft,Service,6.0,false,,"","","",true,true
Plumbing: Rough Connection for Shower,"Adjustments to re position shower
Assumes shower will move no more than 3' away from current location on the same wall",Service,600.0,false,,"","","",true,true
Carpentry: Trim Doors to Size,"",Service,65.0,false,,"","","",true,true
Interior Painting: Closet Doors,"",Service,65.0,false,,"","","",true,true
Carpentry: Closet Door Installation,"Customer to provide door.  Chicago Reno can facilitate pickup as needed

Assumes door selected will match existing opening.  If substantial re-framing and drywall work is required, will require change order at additional cost",Service,65.0,false,,"","","",true,true
Flooring: Install Underylament,"",Service,65.0,false,,"","","",true,true
Carpentry: Repair or replace vanity toe kick,"",Service,65.0,false,,"","","",true,true
Framing and drywall adjustment for half kitchen wall,"",Service,65.0,false,,"","","",true,true
Carpentry: Replace Door Hardware,Hardware to be provided by customer,Service,30.0,false,,"","","",true,true
Carpentry: Build Custom Desk,"",Service,65.0,false,,"","","",true,true
Plumbing: Rough Connection for Cold Plunge,"",Service,65.0,false,,"","","",true,true
Electrical: Rough Electrical for Sauna,"",Service,65.0,false,,"","","",true,true
Carpentry: Reinstall Existing Vanity,"",Service,600.0,false,,"","","",true,true
Carpentry: Install New Sign,"",Service,65.0,false,,"","","",true,true
Countertops: Premium Edge,"",Service,0.0,false,,"","","",true,true
Paint,"Touch up paint near entry door
Extra paint in furnace closet",Service,0.0,false,,"","","",true,true
Caulk shower surround,"",Service,0.0,false,,"","","",true,true
Remove existing shower doors and replacr,"",Service,0.0,false,,"","","",true,true
Cabinet Paint: Prep,"Cover surrounding area in protective plastic sheathing
Apply paper roll cover to floor",Service,65.0,false,,"","","",true,true
Cleaning: Deep Clean Unit Turn,"",Service,0.0,false,,"","","",true,true
Tile: Shower Ceiling,"Customer to provide tile and grout
Large format tile 12x12 or 12x24
If smaller format tile is desired, will require a change order at additional cost",Service,70.0,false,,"","","",true,true
Tub Reglaze,"",Service,800.0,false,,"","","",true,true
Sub floor Repair,"",Service,0.0,false,,"","","",true,true
Cabinet Pull Installation,"",Service,30.0,false,,"","","",true,true
Tile: Kitchen Backsplash,Customer to provide tile and grout,Service,75.0,false,,"","","",true,true
Plumbing: Install Water Heater,"",Service,800.0,false,,"","","",true,true
Plumbing: Install Kitchen Sink,Customer to provide sink,Service,400.0,false,,"","","",true,true
HVAC: Repair Duct Work,Repair 5 linear feet of duct work,Service,65.0,false,,"","","",true,true
Framing: LVL Beam,"",Service,65.0,false,,"","","",true,true
HVAC: Dryer Vent Replacement,"",Service,0.0,false,,"","","",true,true
HVAC: Furnace Vent,"",Service,0.0,false,,"","","",true,true
Materials: Framing,"",Service,100.0,false,,"","","",true,true
Materials: LVL Beam,"",Service,300.0,false,,"","","",true,true
Materials: Toilet,"",Service,0.0,false,,"","","",true,true
Materials: Hot Water Heater,"",Service,0.0,false,,"","","",true,true
Materials: Kitchen Sink,"",Service,0.0,false,,"","","",true,true
Materials: Garbage Disposal,"",Service,0.0,false,,"","","",true,true
Materials: Kitchen Sink Faucet,"",Service,0.0,false,,"","","",true,true
Materials: Bathroom Sink Faucet,"",Service,0.0,false,,"","","",true,true
Materials: Ductwork,"",Service,0.0,false,,"","","",true,true
Materials: Dryer Vent,"",Service,0.0,false,,"","","",true,true
Materials: Furnace Vent,"",Service,0.0,false,,"","","",true,true
HVAC: AC Unit Install,"",Service,0.0,false,,"","","",true,true
Materials: AC Units,"",Service,0.0,false,,"","","",true,true
Electrical: Replacement of Romex with Conduit,"",Service,65.0,false,,"","","",true,true
Materials: Electrical Romex to Conduit Conversion,"",Service,0.0,false,,"","","",true,true
Electrical: Panel Repairs,"",Service,0.0,false,,"","","",true,true
Electrical: Outlet and Switch Replacement,"",Service,0.0,false,,"","","",true,true
Electrical: GFCI Outlet Install,"",Service,350.0,false,,"","","",true,true
Electrical: Junction Box Cover Install,"",Service,0.0,false,,"","","",true,true
Electrical: Swap Existing Light Fixture with Ceiling Fan,"Will use existing electrical.  If new rough electrical is required, will need a change order at additional cost",Service,200.0,false,,"","","",true,true
Electrical: Install Battery Operated Smoke Detectors,"",Service,30.0,false,,"","","",true,true
Materials: Smoke Detectors (Battery),"",Service,0.0,false,,"","","",true,true
Electrical: Install Battery Operated Smoke and CO2 Detectors,"",Service,0.0,false,,"","","",true,true
Materials: Smoke and CO2 Detectors,"",Service,0.0,false,,"","","",true,true
Materials: Exterior Paint,"",Service,0.0,false,,"","","",true,true
Flooring: Install Hardwood Thresholds,"Install thresholds

between the bedroom on the

nd floor of the main building
and the kitchen.",Service,0.0,false,,"","","",true,true
Flooring: Refinish Hardwood Floors,"",Service,0.0,false,,"","","",true,true
Carpentry: Handrail Install,"Customer to provide finish materials
",Service,65.0,false,,"","","",true,true
Materials: Basic Wooden Handrail,"",Service,0.0,false,,"","","",true,true
Materials: Hardwood Floor,Budget $4 per sq,Service,4.0,false,,"","","",true,true
Install New Concrete Sub Floor ,"",Service,65.0,false,,"","","",true,true
Install New Stock Shower Doors,"Customer to provide door.  Chicago Reno can facilitate pickup as needed

Assumes door selected will match existing opening.  If substantial re-framing and drywall work is required, will require change order at additional cost",Service,0.0,false,,"","","",true,true
Carpentry: Install New Mirror,Customer to provide mirror,Service,100.0,false,,"","","",true,true
Tile: Loose Tile Repair,"",Service,75.0,false,,"","","",true,true
Carpentry: Balcony Door Repair,"",Service,0.0,false,,"","","",true,true
Misc: Window Caulk,"",Service,0.0,false,,"","","",true,true
Misc: Deep Clean Washer Door Gasket,"",Service,0.0,false,,"","","",true,true
Carpentry: Door Handle Repair,"",Service,0.0,false,,"","","",true,true
Electrical: Install Proper Outlet Ground,"",Service,150.0,false,,"","","",true,true
Cement,"",Service,0.0,false,,"","","",true,true
Tile: Bath Surround,"Includes professional layout, wet cutting of tile as required for proper fit, setting, and grouting of wall tile in shower surround.

Does not include shelves, niches, benches, or decorative inlays. If desired, these require a change order at additional cost.

Customer to provide tile and grout.

Pricing assumes large-format tile approximately 12x12 or 12×24. Smaller format, mosaic, or specialty tile patterns require a change order due to increased labor.",Service,75.0,false,,"","","",true,true
Plumbing: Install Bath Faucet,"Faucet to be provided by customer
Will use existing rough plumbing.  If new rough plumbing is needed or changes are required to existing plumbing require change order at additional cost",Service,150.0,false,,"","","",true,true
Carpentry: Deck Footing Repair,"",Service,0.0,false,,"","","",true,true
Misc: Weather Stripping,"",Service,65.0,false,,"","","",true,true
Tenant Coordination,"",Service,25.0,false,,"","","",true,true
Plumbing: Re-connect Gas Stove,"",Service,120.0,false,,"","","",true,true
Install New Plywood Subfloor,"",Service,65.0,false,,"","","",true,true
Tile: Repair Tile Grout,"",Service,65.0,false,,"","","",true,true
Carpentry: Repair Cabinet,"",Service,65.0,false,,"","","",true,true
Carpentry: Door Adjustment,"",Service,55.0,false,,"","","",true,true
Plumbing: Swap hot and cold water line shut off valves,"",Service,0.0,false,,"","","",true,true
Plumbing: Drain Line Repair,"",Service,0.0,false,,"","","",true,true
Roofing,"",Service,75.0,false,,"","","",true,true
Tool Rental,"",Service,500.0,false,,"","","",true,true
Permit,City permit and coordination fee,Service,1000.0,false,,"","","",true,true
Carpentry: Install New French Doors,"Labor only
Customer to provide doors and door hardware",Service,600.0,false,,"","","",true,true
Carpentry: Closet Kit Installation,"",Service,400.0,false,,"","","",true,true
Carpentry: Exterior Post Repair,"",Service,65.0,false,,"","","",true,true
Carpentry: Exterior Temporary Overhang Support Construction,"",Service,65.0,false,,"","","",true,true
Exterior: Flashing Installation,"",Service,75.0,false,,"","","",true,true
Carpentry: Replace Fence Board,"",Service,65.0,false,,"","","",true,true
Plumbing: Shower Mixer Valve Replacement,"",Service,250.0,false,,"","","",true,true
Caulk Bathroom Sink,"",Service,65.0,false,,"","","",true,true
Flooring: Hardwood Flooring Repair,"",Service,65.0,false,,"","","",true,true
Plumbing: Cap Gas Line,"",Service,250.0,false,,"","","",true,true
Carpentry: TV Mount,"",Service,300.0,false,,"","","",true,true
Electrical: Install New Junction Box and Outlet,"",Service,250.0,false,,"","","",true,true
Carpentry: Wainscoting,"",Service,65.0,false,,"","","",true,true
Electrical: Re-Install Panel Covers,"",Service,50.0,false,,"","","",true,true
Materials: Panel cover fasteners,"",Service,5.0,false,,"","","",true,true
Materials: Electrical Panel Covers,"",Service,110.0,false,,"","","",true,true
Painting: Caulk / touch ups for baseboard shoe,"",Service,65.0,false,,"","","",true,true
HVAC: Bathroom Vent Fan Ductwork Adjustments,"",Service,65.0,false,,"","","",true,true
Carpentry: Crown Molding Installation,"",Service,65.0,false,,"","","",true,true
Tile: Shower Niche,"Install one standard sized shower niche in guest bathroom shower
If when walls are opened, substantial changes to framing or moving of plumbing / electrical are required to accommodate niche, will require change order at additional cost",Service,65.0,false,,"","","",true,true
Misc: Tree Removal,"",Service,65.0,false,,"","","",true,true
Misc: Poly Injection,"",Service,65.0,false,,"","","",true,true
Materials: Footing,"",Service,0.0,false,,"","","",true,true
Materials: Poly Injection,"",Service,0.0,false,,"","","",true,true
Concrete: Install new Sidewalk,"",Service,65.0,false,,"","","",true,true
Materials: Sidewalk,"",Service,0.0,false,,"","","",true,true
Exterior: French Drain,"",Service,0.0,false,,"","","",true,true
Materials: French Drain,"",Service,0.0,false,,"","","",true,true
Masonry: Tuckpointing,"",Service,0.0,false,,"","","",true,true
Materials: Tuckpointing,"",Service,0.0,false,,"","","",true,true
Exterior: Siding Repair,"",Service,65.0,false,,"","","",true,true
Materials: Siding Repair,"",Service,0.0,false,,"","","",true,true
Exterior: Gutters,"",Service,0.0,false,,"","","",true,true
Materials: Gutters,"",Service,0.0,false,,"","","",true,true
Exterior: Facia,"",Service,0.0,false,,"","","",true,true
Materials: Facia,"",Service,0.0,false,,"","","",true,true
Exterior: Roofing,"",Service,0.0,false,,"","","",true,true
Material: Shingles,"",Service,0.0,false,,"","","",true,true
Materials: Window,"",Service,0.0,false,,"","","",true,true
Exterior: Guardrail,"",Service,0.0,false,,"","","",true,true
Materials: Guardrail,"",Service,0.0,false,,"","","",true,true
Exterior: Fencing,"",Service,0.0,false,,"","","",true,true
Materials: Fencing,"",Service,0.0,false,,"","","",true,true
Carpentry: Cabinet Handle Repair,"",Service,0.0,false,,"","","",true,true
Carpentry: Repair bifold door,"",Service,65.0,false,,"","","",true,true
Comed Coordination,"",Service,500.0,false,,"","","",true,true
Exterior: Wood Trim Replacement,"",Service,65.0,false,,"","","",true,true
Exterior: Caulking,"",Service,65.0,false,,"","","",true,true
Tile: Long Format Adjustment,"",Service,65.0,false,,"","","",true,true
Electrical: Outlet Elimination,"",Service,100.0,false,,"","","",true,true
